"Nodo","Fecha","Hora","pml"
"05AEP-115","2024-12-02","24","417.37"
"05AEP-115","2024-12-03","1","403.71"
"05AEP-115","2024-12-03","2","376.69"
"05AEP-115","2024-12-03","3","350.57"
"05AEP-115","2024-12-03","4","345.38"
"05AEP-115","2024-12-03","5","341.87"
"05AEP-115","2024-12-03","6","346.79"
"05AEP-115","2024-12-03","7","376.11"
"05AEP-115","2024-12-03","8","401.07"
"05AEP-115","2024-12-03","9","376.04"
"05AEP-115","2024-12-03","10","331.34"
"05AEP-115","2024-12-03","11","297.1"
"05AEP-115","2024-12-03","12","185"
"05AEP-115","2024-12-03","13","84.99"
"05AEP-115","2024-12-03","14","57.01"
"05AEP-115","2024-12-03","15","242.25"
"05AEP-115","2024-12-03","16","315.81"
"05AEP-115","2024-12-03","17","342.03"
"05AEP-115","2024-12-03","18","485.47"
"05AEP-115","2024-12-03","19","1017.58"
"05AEP-115","2024-12-03","20","716.98"
"05AEP-115","2024-12-03","21","703.63"
"05AEP-115","2024-12-03","22","552.1"
"05AEP-115","2024-12-03","23","488.94"
"05AEP-115","2024-12-03","24","413.56"
"05AEP-115","2024-12-04","1","453.57"
"05AEP-115","2024-12-04","2","451.68"
"05AEP-115","2024-12-04","3","451.66"
"05AEP-115","2024-12-04","4","452.94"
"05AEP-115","2024-12-04","5","448.81"
"05AEP-115","2024-12-04","6","451.7"
"05AEP-115","2024-12-04","7","453.59"
"05AEP-115","2024-12-04","8","508.59"
"05AEP-115","2024-12-04","9","452.58"
"05AEP-115","2024-12-04","10","443.74"
"05AEP-115","2024-12-04","11","328.64"
"05AEP-115","2024-12-04","12","328.09"
"05AEP-115","2024-12-04","13","306.54"
"05AEP-115","2024-12-04","14","302.14"
"05AEP-115","2024-12-04","15","297.54"
"05AEP-115","2024-12-04","16","385.03"
"05AEP-115","2024-12-04","17","362.35"
"05AEP-115","2024-12-04","18","477.41"
"05AEP-115","2024-12-04","19","559.84"
"05AEP-115","2024-12-04","20","556.68"
"05AEP-115","2024-12-04","21","770.33"
"05AEP-115","2024-12-04","22","673.77"
"05AEP-115","2024-12-04","23","533.64"
"05AEP-115","2024-12-04","24","452.92"
"05AEP-115","2024-12-05","1","464.25"
"05AEP-115","2024-12-05","2","413.73"
